trial,N_RUNS,L_RUN_mm,z_first_mm,side_mm,Vwork_V,initialTmax_K,lifetimeH,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,selfViewLoss_pct,failureReached,erosionSteps,status,elapsed_sec
16,6,232.58826859709183,1.050605446531826,0.44161301157042965,96.142578125,2476.782612159509,200.0,1765.5142719419682,1922.2279819824062,1695.444204142939,1845.9422779439242,-17.255894900839586,False,20,OK,509.0
17,6,251.82103061625108,0.9881057991981921,0.42457513082396775,100.0,2421.6900888636696,200.0,1562.1082448888105,1708.924065917299,1478.3349532109128,1617.279824011985,-8.533172580194105,False,20,OK,300.3
18,4,265.30452435613347,0.6478791241001354,0.5056274927986899,100.0,2851.7939363051564,10.0,2590.4604207636794,2750.4587051608573,2590.4604207636794,2750.4587051608573,-5.681423341782343,True,1,PRUNE_LIFETIME,31.1
19,10,131.64608093103803,2.0273346867533983,0.45454608308406574,100.0,2606.0167127581985,80.0,1469.078891244911,1583.9417485119402,1772.0140223954074,1910.584304304066,3.467821524362602,True,8,OK,168.5
20,10,143.96232025490957,2.2740192294992094,0.4348635827569306,98.486328125,2485.723834274321,30.0,1209.800578521943,1316.5755353983868,1261.258880000413,1372.5773074109786,19.134986078682235,True,3,PRUNE_LIFETIME,237.8
21,10,99.52925906194412,2.040332841813785,0.52187971956069,100.0,2977.9710999593854,82.39104875715613,2168.2714920758976,2289.061727665259,2848.700358202729,3010.306550379889,-7.0465005007601444,True,11,OK,551.1
22,10,77.32945404927091,2.0103598091510633,0.5908950378720261,93.0234375,3272.794276570405,3.779486652854719,2858.6856276581384,2984.355643746687,3253.849502706146,3399.6112893381323,6.722961632580915,True,10,PRUNE_LIFETIME,750.3
23,10,231.70929286305238,2.5143068970124633,0.343399113271436,100.0,1994.4451278032345,0.0,727.0345665766841,840.1441497800198,nan,nan,nan,False,1,PRUNE_LIFETIME,36.6
24,10,139.99847378910042,2.011663669866298,0.4409167544349808,94.82421875,2481.0697662419425,200.0,1257.4472944900988,1368.981550962514,1177.7064609319293,1282.1736496263368,18.7523043227634,False,20,OK,593.6
25,12,179.855698333661,1.8794552970774157,0.35573141722225515,100.0,2065.949980085716,0.0,941.5633450733131,1075.256419732932,nan,nan,nan,False,1,PRUNE_LIFETIME,38.9
26,6,109.44427675961505,2.267766172751344,0.6402151216122561,78.49428348187867,3272.529169183713,3.993099946515918,2957.9882952356597,3087.835345502264,3314.272986254337,3462.083468831192,-1.7621184020525593,True,11,PRUNE_LIFETIME,548.1
27,10,288.6390212063001,1.8420166595313092,0.3078582153418085,100.0,1793.6093555466305,0.0,527.3320665288157,635.6427279847866,nan,nan,nan,False,1,PRUNE_LIFETIME,39.7
28,10,142.90613872940867,2.4735090148511056,0.43645207216218995,98.4375,2496.295397432287,10.0,1280.7425737442509,1392.6059201189198,1280.7425737442509,1392.6059201189198,19.042755018330126,True,1,PRUNE_LIFETIME,186.4
29,6,97.83987258319868,1.5302458150769274,0.676281568343456,68.53823461921513,3272.661783188637,4.120937337363268,2990.1535706400236,3121.649566919993,3163.7205693522897,3304.794805013768,-1.9578033515895266,True,11,PRUNE_LIFETIME,553.6
30,10,53.21399353738725,1.1431418972140803,0.7094584987189303,58.03955270463224,3272.6840244515456,5.0577213857885415,2846.489613109177,2973.2545573934963,2857.9315415922824,2987.663043162427,0.35796346153073033,True,11,PRUNE_LIFETIME,799.9
31,14,99.4731679060278,0.8391674367694684,0.4420688330608583,100.0,2548.6458135706193,170.0,1809.1816528130905,1959.0437993806431,1787.3786463716353,1935.4538292629866,-4.417303116111548,True,17,OK,389.2
32,12,124.54159259516376,0.74162800494854,0.42688061497165286,100.0,2453.1385678781867,200.0,1618.206802146733,1765.7861877183198,1534.7234246585967,1674.6935109578392,-7.474704477340799,False,20,OK,452.8
